key,en_US
upgrades.shield.desc,Install a shield that will absorb some damage. Recharges automatically.
options.video.stretchmode.rezised.text,"Renders the game in the native screen or windowed resolution.
Will look sharp, but visual errors in the form of 1 pixel wide lines may appear."
upgrades.orchardbattlerootingexplosion.desc,"Trigger again to cause all trapped monsters to explode, dealing damage around them."
loadout.mapsize.small,Small
upgrades.probe.desc,Adds a probe to your suit which when triggered sends out a pulse that reveals nearby resources. Must be recharged at the station under the dome.
upgrades.swordlongblade1.desc,Install a longer and more nimble blade.
upgrades.dome1health1.title,Health 1
upgrades.blastminingwaterless.title,Waterless Charges
level.tutorial.assessor.carry,Gravity Collect
upgrades.liftspeed1.desc,The orbs move faster.
upgrades.shieldstrength1.desc,Increases how much damage the dome shield can absorb.
upgrades.orchardbattleshieldsecondlayer.title,Double Layer Shield
upgrades.teleporterteleportresourcescooldown.desc,The portal can teleport resources more often.
options.input.gamepad.autoswitch,automatic detection of preferred gamepad
level.gameover.unlock.modifiers,World modifiers unlocked!
properties.sword.slicebrake,Speed Loss on Slice {.percent}
loadout.difficulty.veryeasy,Normal
properties.sword.sliceacceleration,Sword Speed {}
options.input.gamepad.gamepadstickdeadzone.text,"Set the value so that the bar does not flicker if you only touch thumbsticks, without pushing them.
If you push the thumbstick, the bar should flicker when moving the stick."
options.accessibility.highlightmonsters.explanation,"Render a bright outline around monsters, for better visibility."
properties.upgrade.gameover,End the Run
upgrades.blastminingstickycharge.title,Sticky Directional Charges
upgrades.shieldoverchargestrength2.title,Overcharge Shield Strength 2
upgrades.blastminingblast2.desc,Further increases the blast strength.
upgrades.repellentbattlestrongerslowdown2.title,Strong Stagnation
upgrades.converter.desc,"Can convert resources, helping you balance your resource inventory."
loadout.proceed,Proceed
upgrades.repellentbattleslowdown.desc,Spray a numbing mist during battle that slows all monsters down.
loadout.mapsize.medium.description,An average sized map for a proper mining session.
properties.orchard.overchargeadditionalbuffduration,{} cycles additional buff duration after overcharge
options.translation.community.title,Community Translations
upgrades.blastminingtriple.title,Triple Charges
worldmodifier.hardnessextremes.desc,There are much more extremely hard and soft rocks.
level.station.battle.navbar.exit,Exit
upgrades.keeper2pinballlifetime2.title,Kinetic Sphere Lifetime 2
upgrades.minoriron.desc,Send iron offworld to increase your prestige.
properties.dome.autohealamount,Repair {} hp
upgrades.migration.title,Migration
upgrades.converterefficientcobalt.title,Efficient Cobalt Conversion
upgrades.shieldbattledestructionprevention.desc,"Gain a long period of invulnerability when your dome is about to be destroyed.
After that, your shield does not charge for the next battle. Last stand can only be triggered again after 2 completed waves.
"
upgrades.drill1.desc,Strengthen the drill to dig faster.
level.gameover.retry,Start another run
properties.orchard.overchargeduration,Fruit growth speed doubles for {} cycles
upgrades.dome2health1.title,Health 1
level.tutorial.station.popup_4,Then hit | to enter battle mode and defend.
level.gameover.stats.timeplayed.unit,m
upgrades.repellentbattlestrongerslowdown2.desc,The mist slows monsters even more and lasts for longer.
loadout.gadgetoptions.title,Choose your primary Gadget!
level.tutorial.station.popup_2,Move to the station and hit | to enter it.
upgrades.dome1damagereduction1.desc,Harden the dome surface to take less damage from monsters melee hits. Projectile damage is unaffected.
level.tutorial.station.popup_1,Your dome is under attack!
upgrades.keeper2movement3.title,Gravitational Movement 3
upgrades.jetpackspeed1.desc,Improve the jetpack to move faster.
properties.converter.ironwatertime,{} cycles Conversion Time
level.tutorial.sworddome.slicing.desc,"The faster the sword swings, the higher the slice damage."
upgrades.liftorbs.desc,Install an additional lifting orb.
upgrades.proberecharge.desc,The probe will slowly recharges on its own over time.
loadout.gadget,GADGET
upgrades.drill4.title,Drill Strength 4
properties.probe.rechargetime,Complete Recharge Time {} cycles 
upgrades.keeper2pinballdamage4.title,Kinetic Sphere Damage 4
options.game,Game
loadout.prestige.cobalt,Fixed Cobalt
options.input.vibration.strength,Vibration Strength
upgrades.liftcapacity1.desc,The orbs can carry more resources.
loadout.miner.title,Choose Your Run Options
level.gameover.stats.difficulty,Difficulty
upgrades.repellentoverchargestrength2.title,Overcharge Wave Delay 2
upgrades.domesandrepairstrong.title,Strong Cobalt Repair
upgrades.stunlaserduration1.desc,The stun laser cools down faster and fires for longer.
level.gameover.prestige.score.rankimproved,You improved your rank to {rank}.
upgrades.stunlaserdamage2.desc,Increases damage done by the stun laser.
upgrades.drillbotstrength4.title,Strength 4
level.gameover.prestige.title,PRESTIGE RUN FINISHED
loadout.secondstage.cancel,Cancel
upgrades.laseraimline.desc,"Add targeting sights to the laser, showing where it is aiming."
leaderboard.global,Global
upgrades.condenserdoublestorage.desc,"The condenser will produce and store two water, before it stops working."
upgrades.swordreflection2.title,Reflection 2
leaderboard.season,Season {season}
upgrades.drill2.desc,Strengthen the drill to dig faster.
properties.laser.hitprojectiles,laser hits energy projectiles
upgrades.dome1damagereduction1.title,Hardening 1
properties.sword.stabexplosivedamage,Bomb Damage {}
upgrades.drillbotturnaround.title,Advanced Conditioning
upgrades.keeper2movement1.title,Gravitational Movement 1
properties.orchard.battleroots,Grow {} Roots on the ground
upgrades.prospectionmeterrange2.title,Range 2
upgrades.jetpackspeed4.title,Speed 4
loadout.prestige.miner,Miner
upgrades.repellentdelay2.desc,Further increases the delay of the next wave of monsters.
upgrades.orchard.desc,Plant a tree in the dome that grows fruits to buff your movement and mining power.
upgrades.artilleryflakexplosionradius1.title,Flak Radius 1
upgrades.shieldbattleelectroblast.desc,Trigger an active combat ability that creates a deadly field effect around your dome for a short time.
upgrades.shredgadgettocobalt.desc,Shred the gadget and gain {amount} cobalt.
upgrades.prestigecobalt.title,Send Cobalt
properties.orchard.drillbuff,Mining Strength Buff {}
upgrades.swordlargeblade2.desc,"Install a massive blade. It's slower, but deals heavy damage."
level.gameover.back,Back
options.cancel,Cancel
options.keybindings.action.dome.fire,Fire 
upgrades.swordstabshoot.title,Javelin
upgrades.blastminingtriple.desc,Produces 3 small charges instead of a large one.
upgrades.orcharddrill1.title,Mining Boost 1
upgrades.swordextendlong2.title,Long Stab 2
upgrades.artilleryshotcooldown1.desc,Fire more often.
upgrades.keeper2pinballdamagefraction.title,Kinetic Sphere Hardness Transcendence
upgrades.doublelaser.title,Double Laser
upgrades.jetpackspeed3.title,Speed 3
upgrades.prestigewater.title,Send Water
properties.orchard.battleabilityuses,Uses per Battle {}
upgrades.liftorbs.title,Orbs 1
upgrades.repellentoverchargeduration1.title,Overcharge Battle Ability Duration 1
upgrades.drill3.desc,Strengthen the drill to dig faster.
level.gameover.prestige.uploading.inprocess,uploading score ...
loadout.abort,Abort
properties.shield.overchargestrength,Overcharge Strength {}hp
level.station.navbar.upgrades,Upgrades
upgrades.keeper2pinballsplit.desc,"Split incoming spheres into two, launching them perpendicular to the original."
upgrades.proberecharge.title,Auto Recharge
properties.sword.stabrange,Range {} 
upgrades.liftspeed1.title,Speed
upgrades.domewavecount.desc,Install a counter that shows how many waves you've survived.
level.converter.popup.title,Convert Resources
pause.discord,Join us on Discord
options.keybindings.action.general.back,Cancel
upgrades.prospectionmeterrange1.desc,Increases the detection range of the prospection meter.
upgrades.dome2badrepair1.desc,"Your dome automatically repairs, if it takes a lot of damage during a battle."
upgrades.prestigecobalt.desc,"Send back Cobalt, increases the prestige point multiplier you get each wave."
upgrades.domesandrepair.desc,Repair damage to your dome with cobalt.
loadout.skinoptions.title,Choose your Skin!
loadout.difficulty.medium.description,Dome‘s intended difficulty.
loadout.difficulty.veryeasy.description,"Still not easy, but more relaxed than the other difficulties."
options.game.tutorials,Tutorials
upgrades.orchardbattlerootingmore.desc,Grow more roots that last longer.
upgrades.probepersist1.title,Memory Probe
upgrades.keeper2pinballmorespheres2.title,Sphere Supply 2
upgrades.orchardjetpack3.desc,"Increase the fruits speed boost, letting you move extremely fast."
upgrades.probe.title,Probe
upgrades.sword.title,Sword
properties.shield.battledestructionprevention,Additional Duration {}s
upgrades.shieldbattlereflect.title,Reflection
pause.gamepadcontrols.use,Use
properties.laser.dpsmod,Damage Modifier {.percent}
upgrades.condenserdoublestorage.title,Double Storage
upgrades.relichunt.desc,Find the relic buried deep and bring it back to your dome.
loadout.mapsize.unlock.description,"Win a run with the previous map size, to unlock this map size."
properties.sword.stabdamage,Stab Damage {} 
properties.keeper1.drillstrength,Drill Strength {}
worldmodifier.mapwildbiomes.desc,The biomes borders are very irregular.
upgrades.condenser.title,Condenser
upgrades.dome2badrepair2.title,Impact Recuperation 2
options.game.screenshake.shakewhenmining,Shake When Mining
upgrades.repellentdelay2.title,Delay 2
level.tutorial.assessor.reflect.desc,Hit|to reflect incoming kinetic spheres for a very short time.
properties.drillbot.buffamount,Energized Drillings {} hits
upgrades.laserstrength2.title,Power 2
upgrades.jetpackstrength3.title,Carry Strength 3
options.keybindings.action.general,General
level.gameover.unlock.gadgetability,New Gadget Battle Ability
upgrades.jetpackstrength1.desc,Improve the jetpack to carry more resources.
upgrades.artillerymultishot1.desc,Launches multiple grenades per shot.
properties.sword.reflectprojectiles,Reflect Energy Projectiles
upgrades.stunlaser.desc,Install a laser that auto targets and stuns monsters.
upgrades.orchardbattleshieldstrong.desc,The projectile shields are stronger. Also gain an additional ability use after using overcharge.
upgrades.orchardjetpack1.desc,"Increase the fruits speed boost, letting you move faster."
upgrades.laser.desc,A precision laser that moves along your dome. Originally made to mine asteroids.
properties.shield.maxstrength,Strength {} hp
options.keybindings.action.keeper,Keeper
worldmodifier.resourceunpredicatablecobalt.desc,Cobalt is more scattered and harder to predict.
title.navbar.quit,Quit to Desktop
options.keybindings.rebinding.error.gamepad,Cannot set this as a gamepad input
upgrades.repellentbattleslowdownstun1.desc,"Use volatile spores in the mist to stun monsters, stopping them in their tracks for a short time."
upgrades.swordfastreflection.title,Accelerated Reflection
upgrades.stunlaserduration2.title,Fire Endurance 2
level.gameover.lose.title,THE DOME IS LOST
worldmodifier.resourcescatterediron.desc,"There are more iron clusters around, but they are smaller."
properties.laser.dps,Damage {}
options.game.screenshake.shakeintensity,Shake Intensity
worldmodifier.hardnessharder.desc,There are more harder rocks in the mine.
options.video.stretchmode,Stretch Mode
worldmodifier.monsterhealthy.desc,The monsters have more health.
level.gameover.stats.mapsize,Map Size
loadout.mode.longtime,Long Cycles
upgrades.swordreflection3.desc,Max shield pad size.
upgrades.repellentbattleslowdownstun2.desc,Use the spores more often and stun the monsters for longer.
upgrades.teleporterteleportresourcesarea.title,Teleport Area
upgrades.shieldoverchargeduration2.desc,Your shield battle ability will be active even longer in the next wave after overcharging.
upgrades.shieldoverchargestrength1.title,Overcharge Shield Strength 1
upgrades.drillbotbuffstrength1.desc,Treats energize Drillbert for longer.
upgrades.orchardoverchargebuffduration.title,Overcharge Buff Duration
level.tutorial.assessor.spheres.desc3,It recharges its power with each bounce.
loadout.mode.longtime.desc,"You have twice as much time between waves, but the waves will be stronger."
level.tutorial.assessor.spheres.desc2,Choose a direction and release to shoot the sphere.
upgrades.laserstrength1.desc,"Improves the power of your laser, but it will move slower while firing."
level.tutorial.assessor.spheres.desc1,Hold|to charge a kinetic sphere.
upgrades.jetpackstrength4.title,Carry Strength 4
upgrades.migration.desc,"Migrate from world to world, stripping each of resources and relics before you get overrun."
upgrades.orcharddrill1.desc,"Increase the fruits mining boost, letting you mine faster."
upgrades.keeper2pinballdamage3.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
options.accessibility.highlightmonsters,Highlight Monsters
upgrades.prestigecobaltnocobalt.title,Send Cobalt
properties.keeper2.spherebasedamage,Sphere Base Damage {}
upgrades.orcharddrill3.desc,"Increase the fruits mining boost, letting you mine extremely fast."
properties.converter.cobalttoiron,{} cobalt to one iron
level.tutorial.repair.usecobalt,You can use your cobalt to repair your dome. It's an upgrade in the dome tech tree.
upgrades.blastminingimpactdetonation.title,Impact Detonation
upgrades.swordfastreflection.desc,Reflected projectiles fly back faster.
upgrades.liftcapacity1.title,Capacity
upgrades.artillery.desc,Worms Bazooka.
properties.sword.electricdamage,Electrified Sword Damage {}
level.station.upgrademenu.close,Close
properties.shield.overchargebattleabilityduration,Additional Ability Duration {.percent}
pause.title,PAUSE
upgrades.artillerymultishot1title,Chain Shot 1
properties.shield.battleadditionalabilitydurationafterdepletion,Additional Ability Duration {}s
upgrades.orchardbattlerootingexplosion.title,Explosive Prey
upgrades.blastminingproductiontime1.title,Production Time
options.video.stretchmode.scaled.text,"Renders the game in a fixed resolution and scales it to your resolution.
Can be pixelated, especially in fonts, but there are no visual line errors."
upgrades.orchardduration3.title,Duration 3
upgrades.domewavecount.title,Cycle Counter
upgrades.shredgadgettoiron.title,Shred to Iron
options.keybindings.rebinding.apply,Apply
options.keybindings.restoredefault,Restore Default
upgrades.converterironduplication.title,Iron Duplication
title.navbar.credits,Credits
level.gameover.unlock.gadget,New Gadget
upgrades.jetpackspeed2.title,Speed 2
loadout.modeoptions.title,Choose your Game Mode!
properties.keeper2.spherebaselifetime,Sphere Lifetime {}
options.video.stretchmode.scaled,Scaled
properties.orchard.battleabilityduration,Ability Duration {}s
upgrades.repellentbattleslowdownstun1.title,Paralysis
loadout.difficulty.medium,Brutal
options.audio.volumes,Volumes
upgrades.keeper1.title,Engineer
upgrades.drillbotsleepless.title,Basic Conditioning
upgrades.drillbot.title,Drillbert
level.tutorial.assessor.carry.desc1,"Hold|to pull in resources, until they are locked onto you."
level.tutorial.assessor.carry.desc2,Hit|to drop a resource.
level.tutorial.drillbot.sleeping1,"Drillbert goes to sleep after a while, or when it meets a wall it can't dig."
level.tutorial.assessor.carry.desc3,"If you aim into a direction while dropping a resource, it will be accelerated heavily."
level.tutorial.drillbot.sleeping2,"When close to it, hit | to wake it."
level.tutorial.drillbot.sleeping3,You can make it turn around by hitting | when it's awake.
properties.keeper2.totalspheres,Spheres {}
upgrades.shieldbattleblastdamage.title,Deadly Blast
upgrades.domeresourcecounters.desc,Displays the current amount of stored resources.
upgrades.swordextendlong1.desc,Improved stab strength and ability to guide in flight.
worldmodifier.resourcerichwater.desc,This world has a lot of water.
upgrades.drillbotstrength1.desc,Increases the dig strength of Drillbert.
upgrades.stunlaserautonomy1.desc,A simple AI will control the stun laser even when you are not inside the control station.
properties.blastmining.radius,Explosion radius {} tiles
upgrades.jetpackstrength1.title,Carry Strength 1
options.keybindings.apply,Apply
upgrades.laserstrength2.desc,"Greatly improves the power of your laser, but it will move even slower while firing."
properties.laser.movespeedwhilefiring,Speed while Firing {.percent}
properties.probe.markerretention,Marker Retention {}s
upgrades.swordexplosivereflection.title,Explosive Reflection
upgrades.condenserspeed2.desc,Further reduces the time needed to condense one water.
upgrades.condenserspeed2.title,Production Speed 2
properties.stunlaser.firetime,Fire Time {}s
options.input.gamepad.gamepadstickdeadzone,Thumbstick dead zone
upgrades.keeper2movement2.desc,Improve your gravity generator to move faster.
upgrades.shieldbattlelongerafterdepletion.desc,The blast will last longer if triggered after your shield runs out.
properties.laser.bend,laser auto aims {}°
level.station.upgrademenu.buy,Buy
properties.drillbot.plantgrowthtime,Treat Growth Time {} cycles
level.gameover.continue,Continue
upgrades.repellentoverchargeduration1.desc,Overcharging your tank will also prolong any repellent battle ability you use in the next wave.
upgrades.artilleryshotcooldown1.title,Cooldown 1
worldmodifier.resourceunpredicatablewater.desc,Water is more scattered and harder to predict.
level.tutorial.blastmining.popup_1,Take the Blast Charge and drop it where you want to clear rocks.
ending.thankyoumessage,Thank you for playing!
options.keybindings.rebinding.error.keyboard,Cannot set this as a keyboard input
upgrades.keeper2pinballdamagefraction.desc,The kinetic sphere transcends rock hardness and damages the rock by a fixed fraction of its health.
upgrades.swordlargeblade1.title,Heavy Blade 1
upgrades.shredgadgettoiron.desc,Shred the gadget and gain {amount} iron.
upgrades.drillbot.desc,Adopt a loveable creature that loves to dig. Carry it into the mine and drop off where you want it to work. Check back to wake it up when it goes to sleep on the job.
properties.dome.autohealdamagethreshold,Activate on getting more damage than {} hp
upgrades.dome3health1.title,Health 1
title.navbar.updates.close,Close
upgrades.swordaimline.desc,Add a laser sight for aiming the sword stab.
upgrades.shieldoverchargeduration1.title,Overcharge Battle Ability Duration 1
level.converter.popup.explanation,Pick a resource conversion to start!
upgrades.drillbotbuff1.title,Treats
title.navbar.credits.close,Close
upgrades.keeper2movement3.desc,Improve your gravity generator to move faster.
pause.quittotitlescreen,Quit to Title Screen
loadout.prestige.countdown.description,The prestige multiplier starts high and decreases each cycle.
upgrades.drill3.title,Drill Strength 3
upgrades.probestage1.title,Improved Probe
properties.sword.stabarrowhead,Increase Arrowhead Size
loadout.mapsize.huge.description,A huge map for the longest runs.
properties.sword.stabspeed,Stab Speed {.percent} 
level.tutorial.teleporter.take1,Your teleporter has a station and a portal. You can teleport between them.
worldmodifier.mapmaze.desc,The mine is a maze.
level.tutorial.teleporter.take2,Grab the Portal and place it where you like.
options.keybindings.action.dome.battleability1,Battle Ability
upgrades.laserbend.desc,Install a swivel head into the laser that automatically corrects your aim if it comes close.
options.video.graphicsmode.fullscreen,Fullscreen
options.keybindings.action.general.down,Down
level.tutorial.assessor.spheres,Kinetic Spheres
level.tutorial.mineraltree1,"You just found a mineral tree seed. It can grow into a tree which roots into tiles. It will grow resources depending on the resources of the rooted tiles.
Drop it on a tile to plant the seed."
upgrades.blastmining.desc,Adds a machine under the dome that produces blast charges. Carry them into the mines and release to detonate.
properties.sword.stabcooldown,Extend Cooldown {}s 
upgrades.repellentoverchargestrength2.desc,Further increase the delay until the next wave after overcharging.
upgrades.probeswift1.desc,"Switch to a fast, short range probe with many charges."
properties.drillbot.buffextraamount,Additional Drilling {} hits
level.gameover.unlock.keeper,New Keeper
upgrades.prospectionmeter.title,Prospection Meter
upgrades.shieldbattleactivateondepletion.desc,Invulnerability automatically activates an additional time when the shield runs out.
upgrades.dome2badrepair1.title,Impact Recuperation 1
upgrades.swordtargetlock.title,Target Lock
upgrades.laserhitprojectiles.title,Dissolve Projectiles
upgrades.keeper2pinballreflectspeedup1.title,Improved Reflection
properties.shield.battleuses,Uses per Battle {}
options.game.events,Events
upgrades.artilleryflakexplosionradius1.desc,Flak explosion is larger.
properties.keeper1.speedlosspercarry,Carry Slowdown {}
pause.gamepadcontrols.back,Back
level.gameover.unlocknewelementbutton,Pick your unlock
upgrades.prospectionmeteriron2.desc,Displays the direction to the nearest iron deposits.
upgrades.prestige.desc,Score points by sending home as many resources as possible before your dome falls or you safely leave the planet.
properties.prestige.multiplier,{} Prestige Multiplier per Wave
options.input.controls,Controls
properties.sword.reflectionacceleration,Reflected Projectile Speed {.percent}
loadout.difficult.easier,easier
upgrades.keeper2pinballreflectdamage1.title,Reflection Damage 1
properties.sword.extendspeed,Extend Speed {} 
properties.keeper2.reflectspeedup,Sphere Speedup on Reflection {.percent}
loadout.mode.doubleiron,Double Iron
upgrades.dome3.desc,not available in demo
properties.condenser.growthtime,Production Time {} cycles
options.game.languages,Languages
worldmodifier.mapwidebottom.desc,"The mine is thin at first, and gets very wide in the depths."
loadout.mode.maze,Maze
upgrades.dome2health1.desc,Permanently increase the structural health of your dome and repair it.
properties.drillbot.drillstrength,Drill Strength {}
upgrades.keeper2.desc,An unconventional miner who employs experimental gravity technology.
properties.orchard.battleshields,Shield Layers {}
level.tutorial.sworddome.reflecting.desc,"Use the sword's shield pad to stop projectiles, or even reflect them."
options.audio.volumes.musicvolume,Music Volume
loadout.dome,DOME
upgrades.swordlongblade2.title,Long Blade 2
upgrades.laseraimline.title,Laser Sight
level.tutorial.assessor.bundle.desc1,"Hold|while carrying resources, to charge a bundle."
options.keybindings.keyboard,Keyboard
level.tutorial.assessor.bundle.desc2,"Aim and release to shoot it, the same way you fire a kinetic sphere."
properties.prestige.score,{} Prestige
worldmodifier.mapdeep.desc,The mine is deeper and less wide.
upgrades.repellentbattleslowdownstun2.title,Strong Paralysis
upgrades.keeper2pinballmorespheres1.title,Sphere Supply 1
upgrades.prestigewater.desc,"Send back Water, adds 1 to the prestige you get each wave."
properties.keeper2.bundlestopcenter,Center Column Gravity Field
upgrades.stunlaserdamage1.title,Damage 1
upgrades.keeper2pinballlifetime1.title,Kinetic Sphere Lifetime 1
properties.repellent.battleslowdown,Monster Slowdown {.percent}
upgrades.swordextendlong1.title,Long Stab 1
level.gameover.stats.distancetravelled,Distance Travelled
properties.keeper2.reflectlifetime,Additional Sphere Lifetime on Reflection {}s
upgrades.blastminingimpactdetonation.desc,The blast charge will explode on impact with a surface.
properties.keeper2.spheresplit,Split Incoming Spheres
options.keybindings.action.dome.upgrade,Upgrades
worldmodifier.resourcepoorcobalt.desc,This world has little cobalt.
pause.resumegame,Resume Game
level.gameover.unlock.difficulty,New difficulty unlocked!
properties.stunlaser.cooldown,Cooldown {}s
options.keybindings.action.general.right,Right
level.tutorial.assessor.mining.desc,"To remove a single rock, you can move the rotating kinetic sphere into it."
upgrades.teleporterteleportresourcesback.title,Teleport Resources
upgrades.dome1.title,Laser Dome
upgrades.keeper2bundleinfinite.title,Enduring Bundle
upgrades.repellentdelay1.title,Delay 1
upgrades.miner.desc,"In worlds without monsters, you can concentrate on mining as many resources as you want without distraction."
upgrades.repellentbattlestrongerslowdown1.desc,The mist slows monsters more and lasts longer.
upgrades.teleporterteleportresourcesarea.desc,The portal will teleport resources from a larger area than before.
upgrades.dome3.title,Artillery Dome
upgrades.swordstabshoot.desc,"Instead of retracting with a cable, the sword charges and is shot from the dome like a javelin."
upgrades.repellentbattledamageovertime.desc,All monsters take a little damage for each second the toxic fumes persist.
upgrades.shieldbattleactivateondepletion.title,Activate on Depletion
upgrades.artillerymultishot2.desc,Launches multiple grenades per shot.
upgrades.dome1health2.title,Health 2
worldmodifier.monsterlethal.desc,"The monsters are more lethal, dealing more damage."
loadout.pet,Pet
options.keybindings.action,Action
upgrades.orcharddrill3.title,Mining Boost 3
options.translation.title,SELECT YOUR LANGUAGE
upgrades.prospectionmeterrange1.title,Range 1
upgrades.dome2badrepair2.desc,"Your dome automatically repairs more, if it takes a lot of damage during a battle."
options.audio.volumes.ambiencevolume,Ambience Volume
upgrades.prestigecobaltnocobalt.desc,"Send back Cobalt, increases the prestige point multiplier you get each wave."
worldmodifier.maparms.desc,The mine is more fractured.
loadout.prestige.countdown,Countdown
upgrades.keeper2pinballdamage2.title,Kinetic Sphere Damage 2
upgrades.jetpackspeed1.title,Speed 1
upgrades.minerrefuel.title,Refuel
upgrades.teleporterteleportduration1.title,Teleport Duration
properties.blastmining.bombs,Charges {}
loadout.miner.fuel.title,Fuel
exhibition.title.press.anything,Press anything to play
loadout.mode,MODE
level.tutorial.sworddome.slicing,Slice
properties.condenser.autoovercharge,Automated Overcharge
upgrades.teleporterteleportduration1.desc,Teleporting yourself will take less time.
upgrades.minerwater.title,Send Water
title.navbar.continue,Continue
upgrades.orchardbattleshield.desc,Grow a shield that protects the dome from projectiles.
upgrades.liftcarrykeeper1.title,Keeper Lift 1
options.input.controls.keybindings,Key Bindings
properties.keeper2.bundlespheres,Bundle Spheres
upgrades.shieldovercharge.title,Overcharge Shield
properties.condenser.overchargedelay,Production Delay {} cycles
upgrades.keeper2.title,Assessor
level.tutorial.assessor.mining,Rotational Mining
upgrades.repellentoverchargeduration2.title,Overcharge Battle Ability Duration 2
upgrades.swordblade1.title,Slice Improvement
properties.converter.irontoiron,{} iron to one iron
exhibition.level.description,Going back to the main menu in ...
level.tutorial.assessor.mining.desc2,"You can stop mining without shooting a sphere, by first releasing the directional keys."
worldmodifier.monsterslow.desc,The monsters are slower.
upgrades.orcharddrill2.desc,"Increase the fruits mining boost, letting you mine even faster."
loadout.difficulty.easy.description,A bit more forgiving in many aspects.
upgrades.swordstabexplode.title,Stab Bomb Delivery
level.gameover.stats.additionalgadget,Additional Gadget
upgrades.drillbotbuffstrength2.desc,"After getting a treat, Drillbert will work far longer before getting sleepy."
upgrades.laserstrength3.desc,"Massively improves the power of your laser, but it barely moves while firing."
loadout.mapsize.medium,Medium
loadout.difficulty.hard,You asked for it
level.gameover.stats.wavessurvived,Waves Survived
properties.stunlaser.damage,Damage {}
options.keybindings.rebinding.cancel,Cancel
level.tutorial.sworddome.stabbing.desc,Extend the sword and stab distant enemies.
level.gameover.unlock.gamemodevariant,New Game Mode Variant
upgrades.prestigefinish.title,Leave Planet
properties.keeper2.bundleduration,Bundle Lifetime {.percent}
upgrades.shieldstrength3.title,Strength 3
options.audio.volumes.mastervolume,Master Volume
upgrades.shieldbattlelongerafterdepletion.title,Depletion Boost
