key,th_TH
upgrades.shieldstrength1.desc,เกราะดูดซับความเสียหายได้เพิ่มขึ้น
upgrades.orchardbattleshieldsecondlayer.title,โล่สองชั้น
upgrades.teleporterteleportresourcescooldown.desc,ประตูวาร์ปจัดส่งทรัพยากรไวขึ้น
options.input.gamepad.autoswitch,ตรวจหาจอยสติ๊กโดยอัตโนมัติ
level.gameover.unlock.modifiers,ปลดล็อคส่วนปรับแต่งโลกใหม่!
properties.sword.slicebrake,ความเร็วที่เสียไปจากการฟันดาบ {.percent}
loadout.mapsize.medium,ปานกลาง
properties.sword.sliceacceleration,ความเร็วดาบ {}
options.input.gamepad.gamepadstickdeadzone.text,"ตั้งค่าบริเวณที่ไม่ตอบสนองต่อก้านอนาล็อก แถบแสดงการตอบสนองจะไม่ขยับ หากคุณเพียงแค่แตะเบาๆโดยไม่ได้ออกแรง
หากคุณออกแรงดันก้านอนาล็อก แถบแสดงการตอบสนองจะขยับตาม"
options.accessibility.highlightmonsters.explanation,วาดเส้นแสงตามขอบของมอนส์เตอร์เพื่อให้มองเห็นได้ง่ายขึ้น
properties.upgrade.gameover,สิ้นสุด
upgrades.blastminingstickycharge.title,ระเบิดเหนียวหนึบ
upgrades.shieldoverchargestrength2.title,โอเวอร์ชาร์จเกราะแกร่ง 2
upgrades.blastminingblast2.desc,เพิ่มความรุนแรงระเบิดอย่างมาก
upgrades.repellentbattlestrongerslowdown2.title,อ่อนเปลี้ย
upgrades.converter.desc,แปรเปลี่ยนทรัพยากรที่มีอยู่ ช่วยให้ทรัพกรในช่องสัมภาระสมดุลมากขึ้น
loadout.proceed,ต่อไป
upgrades.repellentbattleslowdown.desc,พ่นหมอกระหว่างต่อสู้ให้มอนสเตอร์เคลื่อนที่ช้าลง
loadout.mapsize.medium.description,แผนที่มาตรฐานเหมาะสำหรับการขุดเพลินๆ
properties.orchard.overchargeadditionalbuffduration,เพิ่มระยะเวลาบัพ {} รอบ หลังจากเปิดใช้โอเวอร์ชาร์จ
options.translation.community.title,งานแปลจากผู้เล่น
upgrades.blastminingtriple.title,สามชาร์จ
worldmodifier.hardnessextremes.desc,เหมืองเต็มไปด้วยหินที่ทั้งแข็งที่สุดและอ่อนนุ่ม
level.station.battle.navbar.exit,ออก
upgrades.keeper2pinballlifetime2.title,บอลพลังงานคงทน 2
upgrades.prestigeiron.desc,ส่งเหล็กกลับเพื่อรับแต้มเกียรติยศในเเต่ละรอบ
properties.dome.baserepair,ซ่อมแซมพลังชีวิต {} หน่วย
upgrades.migration.title,ย้ายถิ่นฐาน
upgrades.converterefficientcobalt.title,แปรเปลี่ยนโคบอล์ทดีขึ้น
upgrades.shieldbattledestructionprevention.desc,"เมื่อโดมถูกทำลายจะเรียกใช้สกิลอมตะชั่วคราว หลังจากนั้นเกราะของโดมจะใช้งานไม่ได้ในการจู่โจมถัดไป ยืดหยัดสู้จะสามารถใช้ได้อีกครั้งหลังจากจบ 2 รอบการโจมตี
"
upgrades.drill1.desc,เพิ่มความแรงของสว่านเพื่อการขุดที่เร็วขึ้น
level.gameover.retry,เริ่มเกมใหม่
properties.orchard.overchargeduration,ผลไม้โตเร็วขึ้น 2 เท่า {} รอบ
upgrades.dome2health1.title,พลังชีวิต 1
level.tutorial.station.popup_4,แล้วกด | เพื่อเริ่มโหมดจู่โจม และป้องกันโดม
level.gameover.stats.timeplayed.unit,นาที
upgrades.repellentbattlestrongerslowdown2.desc,พ่นหมอกให้มอนสเตอร์ช้าลงมากยิ่งขึ้นและยาวนานขึ้น
loadout.gadgetoptions.title,เลือกแกดเจ็ตหลัก
level.tutorial.station.popup_2,เคลื่อนที่ไปที่สถานี และกด | เพื่อเข้าใช้
upgrades.dome1damagereduction1.desc,เสริมความแข็งแรงให้กับผิวโดมเพื่อรับดาเมจน้อยลงจากการโจมตีของมอนสเตอร์ระยะประชิด ระยะไกลไม่มีผล
level.tutorial.station.popup_1,โดมของคุณกำลังถูกโจมตี!
upgrades.keeper2movement3.title,การลอยตัว 3
upgrades.jetpackspeed1.desc,ปรับปรุงไอพ่นให้เคลื่อนที่เร็วขึ้น
properties.converter.ironwatertime,{} รอบ ในการแปรเปลี่ยน
level.tutorial.sworddome.slicing.desc,แกว่งดาบเร็วขึ้น ทำดาเมจได้มากขึ้น
upgrades.liftorbs.desc,เพิ่มลูกแก้วในการขนส่งทรัพยากร
upgrades.proberecharge.desc,สแกนเนอร์จะรีชาร์จอีกครั้งเมื่อเวลาผ่านไป
loadout.gadget,แกดเจ็ต
upgrades.drill4.title,ความแรงสว่าน 4
properties.probe.rechargetime,เวลารีชาร์จ {} รอบ 
upgrades.keeper2pinballdamage4.title,เพิ่มความแรงบอลพลังงาน 4
options.game,เกม
loadout.prestige.cobalt,โคบอล์ท คงที่
options.game.screenshake.shakeintensity,ระดับการสั่น
upgrades.liftcapacity1.desc,ลูกแก้วขนส่งของได้มากขึ้น
loadout.miner.title,เลือกการตั้งค่าในการเล่น
level.gameover.stats.difficulty,ระดับความยาก
upgrades.repellentoverchargestrength2.title,โอเวอร์ชาร์จยืดเวลา 2
upgrades.domesandrepairstrong.title,ซ่อมแซ่มด้วยโคบอลต์จำนวนมาก
upgrades.stunlaserduration1.desc,สตั้นเลเซอร์ทำงานได้ไวขึ้นและยิงได้นานขึ้น
level.gameover.prestige.score.rankimproved,เพิ่มระดับของคุณเป็น {rank}
upgrades.stunlaserdamage2.desc,เพิ่มดาเมจของสตั้นเลเซอร์มากขึ้น
upgrades.drillbotstrength4.title,เพิ่มพลังขุด 4
level.gameover.prestige.title,สิ้นสุดรอบเกียรติยศ
loadout.secondstage.cancel,ยกเลิก
upgrades.laseraimline.desc,เพิ่มเส้นวิถีของเลเซอร์ เพื่อแสดงวิถีว่ากำลังเล็งไปที่ใด
leaderboard.global,Global
upgrades.condenserdoublestorage.desc,เครื่องกลั่นจะผลิตทรัพยากรน้ำ 2 หยด ก่อนหยุดทำงาน
upgrades.swordreflection2.title,สะท้อน 2
leaderboard.season,Season {season}
upgrades.drill2.desc,เพิ่มความแรงของสว่านเพื่อการขุดที่เร็วขึ้น
properties.laser.hitprojectiles,เลเซอร์ทำลายการโจมตีของศัตรู
upgrades.dome1damagereduction1.title,เคลือบแข็ง 1
properties.sword.stabexplosivedamage,ดาเมจระเบิด {}
upgrades.drillbotturnaround.title,ฝึกขั้นสูง
upgrades.keeper2movement1.title,การลอยตัว 1
properties.orchard.battleroots,รากไม้ {} รากขึ้นมาจากใต้ดิน
upgrades.prospectionmeterrange2.title,เพิ่มระยะ 2
upgrades.jetpackspeed4.title,ความเร็ว 4
upgrades.miner.title,คนเหมือง
upgrades.repellentdelay1.desc,ยืดเวลาของการจู่โจมถัดไปให้นานขึ้น
upgrades.orchard.desc,ปลูกต้นไม้ในโดมจะออกผลไม้ที่เสริมประสิทธิภาพในการเคลื่อนที่และการขุด
upgrades.artilleryflakexplosionradius1.title,ขนาดกระสุน 1
upgrades.shieldbattleelectroblast.desc,เปิดใช้สกิลต่อสู้เพื่อปลดปล่อยระเบิดสายฟ้ารอบโดมของคุณเป็นช่วงเวลาสั้นๆ
upgrades.shredgadgettocobalt.desc,แทนอุปกรณ์ด้วย {amount} โคบอล์ท
upgrades.prestigecobalt.title,ส่งโคบอลต์
properties.orchard.drillbuff,บัพเพิ่มพลังขุด {}
upgrades.swordlargeblade2.desc,ติดตั้งดาบอันใหญ่โต เคลื่อนที่ได้ช้าแต่แรง
level.gameover.back,กลับ
loadout.abort,ยกเลิก
options.keybindings.action.dome.fire,ยิง
upgrades.swordstabshoot.title,หอก
upgrades.blastminingtriple.desc,สร้างระเบิดเล็ก 3 ลูกแทนระเบิดใหญ่ลูกเดียว
upgrades.orcharddrill1.title,เสริมพลังขุด 1
upgrades.swordextendlong2.title,แทงไกล 2
upgrades.artilleryshotcooldown1.desc,ยิงไวขึ้น
upgrades.keeper2pinballdamagefraction.title,บอลพลังแปรผันกับความแข็ง
upgrades.doublelaser.title,เลเซอร์คู่
upgrades.jetpackspeed3.title,ความเร็ว 3
upgrades.prestigewater.title,ส่ง น้ำ
properties.shield.battleuses,จำนวนครั้งต่อการจู่โจม {}
upgrades.liftorbs.title,ลูกแก้ว 1
upgrades.repellentoverchargeduration1.title,โอเวอร์ชาร์จเพิ่มระยะเวลาสกิล 1
upgrades.drill3.desc,เพิ่มความแรงของสว่านเพื่อการขุดที่เร็วขึ้น
level.gameover.prestige.uploading.inprocess,กำลังอัพโหลดคะแนน
options.cancel,ยกเลิก
properties.shield.overchargestrength,โอเวอร์ชาร์จ พลังชีวิต {} หน่วย
level.station.navbar.upgrades,อัพเกรด
upgrades.keeper2pinballsplit.desc,แบ่งลูกบอลออกเป็น 2 ส่วน ลอยออกไปตั้งฉากกับทิศทางเดิม
upgrades.proberecharge.title,รีชาร์จอัตโนมัติ
properties.sword.stabrange,ระยะ {} 
upgrades.liftspeed1.title,เพิ่มความเร็ว
upgrades.domewavecount.desc,ติดตั้งตัวนับรอบ เพื่อแสดงจำนวนรอบที่คุณรอดชีวิต
level.converter.popup.title,แลกเปลี่ยนทรัพยากร
pause.discord,เข้าร่วม Discord
options.keybindings.action.general.back,ยกเลิก
upgrades.prospectionmeterrange1.desc,เพิ่มระยะในการตรวจหาของเครื่องมือสำรวจ
upgrades.dome2badrepair1.desc,โดมของคุณจะซ่อมแซมโดยอัตโนมัติหากได้รับความเสียหายจำนวนมากระหว่างการต่อสู้
upgrades.prestigecobalt.desc,ส่งโคบอล์ทกลับเพื่อรับแต้มเกียรติยศในเเต่ละรอบ
upgrades.domesandrepair.desc,ซ่อมแซมความเสียหายของโดมด้วยโคบอล์ท
loadout.skinoptions.title,เลือกสกิน
loadout.difficulty.medium.description,นี่แหละยาก
loadout.difficulty.veryeasy.description,ชิล ง่ายกว่าความยากอื่นเยอะ
options.game.tutorials,โหมดฝึกสอน
upgrades.orchardbattlerootingmore.desc,เพิ่มจำนวนรากไม้ให้มากขึ้นและอยู่นานขึ้น
upgrades.probepersist1.title,จดจำตำแหน่ง
upgrades.keeper2pinballmorespheres2.title,บอลสำรอง 2
upgrades.orchardjetpack3.desc,บัพผลไม้เพิ่มความเร็วการเคลื่อนที่ขึ้นอย่างไม่หยุดยั้ง
upgrades.probe.title,สแกนเนอร์
upgrades.sword.title,ดาบ
properties.shield.battledestructionprevention,เพิ่มระยะเวลา {} วินาที
upgrades.shieldbattlereflect.title,สะท้อนกลับ
options.keybindings.rebinding.apply,ใช้
properties.laser.dpsmod,Damage Modifier {.percent}
upgrades.liftcapacity1.title,เพิ่มความจุ
upgrades.relichunt.desc,ค้นหาโบราณวัตถุที่ถูกฝังลึกใต้ดินและนำกลับไปยังโดมของคุณ
loadout.mapsize.unlock.description,เอาชนะแผนที่ก่อนหน้า เพื่อปลดล็อกแผนที่ถัดไป
properties.sword.stabdamage,ดาเมจการแทง {} 
properties.keeper1.drillstrength,ความแรงสว่าน {}
worldmodifier.mapwildbiomes.desc,ริมขอบของนิเวศวิทยาไม่ปกติ
upgrades.condenser.title,เครื่องกลั่น
upgrades.dome2badrepair2.title,กู้คืนความเสียหาย 2
options.game.screenshake.shakewhenmining,สั่นหน้าจอขณะขุด
upgrades.repellentdelay2.title,ยืดเวลา 2
level.tutorial.assessor.reflect.desc,กด | เพื่อสะท้อนบอลพลังงานชั่วขณะ
properties.drillbot.buffamount,บัพเพิ่มความแรงการขุด {} หน่วย
upgrades.laserstrength2.title,เพิ่มพลัง 2
upgrades.jetpackstrength3.title,เพิ่มน้ำหนัก 3
options.keybindings.action.general,ทั่วไป
level.gameover.unlock.gadgetability,สกิลแกดเจ็ตต่อสู้ใหม่
upgrades.jetpackstrength1.desc,ปรับปรุงไอพ่นให้บรรทุกของได้เพิ่มขึ้น
upgrades.artillerymultishot1.desc,ยิงกระสุนระเบิดต่อเนื่องต่อการยิง
properties.sword.reflectprojectiles,สะท้อนการโจมตี
upgrades.stunlaser.desc,ติดตั้งเลเซอร์จิ๋วที่เล็งเป้าหมายโดยอัตโนมัติเพื่อสตั้นมอนสเตอร์
upgrades.orchardbattleshieldstrong.desc,เกราะป้องกันการโจมตีระยะไกลอันแข็งแกร่ง นอกจากนี้ยังได้รับสกิลเพิ่มเติมหลังจากใช้โอเวอร์ชาร์จ
upgrades.orchardjetpack1.desc,บัพผลไม้เพิ่มความเร็วการเคลื่อนที่ให้เร็วขึ้น
upgrades.laser.desc,เลเซอร์อันทรงพลังที่เคลื่อนที่รอบโดมของคุณ เดิมทีมีไว้สำหรับการขุดดาวเคราะห์น้อย
properties.orchard.battleshieldhp,พลังชีวิต {} หน่วย
options.keybindings.action.keeper,ผู้พิทักษ์
worldmodifier.resourceunpredicatablecobalt.desc,โคบอล์ทอยู่อย่างกระจัดกระจายและยากต่อการค้นหา
pause.quitgame,ออกจากเกม
options.keybindings.rebinding.error.keyboard,ไม่สามารถตั้งค่าปุ่มนี้ได้
upgrades.repellentbattleslowdownstun1.desc,สร้างหมอกเพื่อกระจายสปอร์ออกไปทำให้มอนสเตอร์มึนงงหยุดเคลื่อนที่ชั่วขณะ
upgrades.swordfastreflection.title,สะท้อนกลับเร็ว
upgrades.stunlaserduration2.title,ต้านทานความร้อน 2
level.gameover.lose.title,โดมถูกทำลาย
worldmodifier.resourcescatterediron.desc,กลุ่มเหล็กมีมากขึ้นแต่จำนวนจะน้อยลง
properties.laser.dps,ดาเมจ {}
options.input.vibration.strength,ระดับการสั่น
worldmodifier.hardnessharder.desc,หินในเหมืองแข็งมากขึ้น
options.video.stretchmode,ส่วนขยาย
worldmodifier.monsterhealthy.desc,มอนสเตอร์มีพลังชีวิตมากขึ้น
level.gameover.stats.mapsize,ขนาดแผนที่
loadout.mode.longtime,เพิ่มเวลาต่อรอบ
upgrades.swordreflection3.desc,แผ่นป้องกันใหญ่สุดๆ
upgrades.repellentbattleslowdownstun2.desc,สปอร์อยู่นานขึ้นเเละสตันมอนสเตอร์นานขึ้น
upgrades.teleporterteleportresourcesarea.title,ขยายวาร์ป
upgrades.shieldoverchargeduration2.desc,หลังจากโอเวอร์ชาร์จสกิลต่อสู้จะใช้งานได้นานขึ้นในการจู่โจมถัดไป
upgrades.shieldoverchargestrength1.title,โอเวอร์ชาร์จเกราะแกร่ง 1
upgrades.drillbotbuffstrength1.desc,บัพขนมของดริลเบริทอยู่นานขึ้น
upgrades.orchardoverchargebuffduration.title,โอเวอร์ชาร์จเพิ่มเวลาบัพ
level.tutorial.assessor.spheres.desc3,บอลพลังงานเติมพลังแต่ละครั้งด้วยการเด้ง
loadout.mode.longtime.desc,คุณมีเวลาต่อรอบเพิ่มเป็น 2 เท่า แต่รอบการบุกจะแข็งแกร่งขึ้น
level.tutorial.assessor.spheres.desc2,กำหนดทิศทางเพื่อยิงบอลพลังงานออกไป
upgrades.laserstrength1.desc,เพิ่มพลังของเลเซอร์ แต่จะเคลื่อนที่ช้าลงขณะยิง
level.tutorial.assessor.spheres.desc1,กด | ค้าง เพื่อชาร์จบอลพลังงาน
upgrades.jetpackstrength4.title,เพิ่มน้ำหนัก 4
upgrades.migration.desc,อพยพจากโลกหนึ่งไปยังอีกโลกหนึ่ง ค้นหาทรัพยากรและโบราณวัตถุก่อนที่คุณจะพ่ายแพ้ให้กับผู้บุกรุก
upgrades.orcharddrill1.desc,บัพผลไม้เพิ่มพลังการขุดทำให้ขุดเร็วขึ้น
upgrades.keeper2pinballdamage3.desc,เพิ่มดาเมจให้กับบอลพลังงานเมื่อกระแทกกับหิน และยังเพิ่มดาเมจให้กับการขุดแบบหมุนอีกด้วย
options.accessibility.highlightmonsters,ไฮไลท์มอนส์เตอร์
upgrades.prestigecobaltnocobalt.title,ส่งโคบอลต์
properties.keeper2.spherebasedamage,ความเสียหายพื้นฐานลูกแก้ว {}
upgrades.orcharddrill3.desc,บัพผลไม้เพิ่มพลังการขุดแบบทะลุทะลวงอย่างไม่หยุดยั้ง
properties.converter.cobalttoiron,{} โคบอล์ท เปลี่ยนเป็น 1 เหล็ก
level.tutorial.repair.usecobalt,คุณสามารถใช้โคบอล์ทเพื่อซ่อมแซมโดม อัพเกรดเพิ่มเติมในผังเทคโนโลยี
upgrades.blastminingimpactdetonation.title,ระเบิดกระแทก
upgrades.swordfastreflection.desc,สะท้อนการโจมตีของศัตรูกลับอย่างรวดเร็ว
upgrades.condenserdoublestorage.title,เพิ่มความจุ
upgrades.artillery.desc,เวิร์มบาซูก้า
properties.sword.electricdamage,ดาเมจดาบสายฟ้า {}
level.station.upgrademenu.close,ปิด
properties.repellent.overchargebattleabilityduration,เพิ่มระยะเวลาของสกิล {.percent}
pause.title,หยุดชั่วคราว
upgrades.artillerymultishot1title,ยิงต่อเนื่อง 1
properties.shield.battleadditionalabilitydurationafterdepletion,เพิ่มระยะเวลาสกิล {} วินาที
upgrades.orchardbattlerootingexplosion.title,เหยื่อระเบิด
upgrades.blastminingproductiontime1.title,เร่งการผลิต
options.video.stretchmode.scaled.text,"เรนเดอร์เกมด้วยความละเอียดที่ตั้งค่าไว้และปรับขนาดให้เป็นความละเอียดของหน้าจอคุณ
ภาพจะเป็นพิกเซล โดยเฉพาะอย่างยิ่งกับตัวหนังสือ แต่จะไม่มีเส้นผิดพลาดเกิดขึ้น"
upgrades.orchardduration3.title,ระยะเวลา 3
upgrades.domewavecount.title,ตัวนับรอบ
upgrades.shredgadgettoiron.title,แทนด้วยเหล็ก
options.keybindings.apply,ใช้
options.keybindings.restoredefault,คืนค่าเริ่มต้น
upgrades.converterironduplication.title,คัดลอกเหล็ก
title.navbar.credits,เครดิต
level.gameover.unlock.gadget,แกดเจ็ตใหม่
upgrades.jetpackspeed2.title,ความเร็ว 2
loadout.modeoptions.title,เลือกโหมดเกม
properties.keeper2.spherebaselifetime,อายุของลูกแก้ว {}
options.video.stretchmode.scaled,ปรับสเกล
properties.orchard.battleabilityduration,ระยะเวลาสกิล {} วินาที
upgrades.repellentbattleslowdownstun1.title,อัมพาต
loadout.difficulty.medium,ยากมาก
options.audio.volumes,ระดับเสียง
upgrades.keeper1.title,วิศวกร
upgrades.drillbotsleepless.title,ฝึกเบื้องต้น
upgrades.drillbot.title,ดริลเบริท
level.tutorial.assessor.carry.desc1,กด | ค้าง เพื่อดึงทรัพยากรเข้ามาที่ตัวของคุณ
level.tutorial.assessor.carry.desc2,กด | เพื่อยิงทรัพยากร
level.tutorial.drillbot.sleeping1,ดริลเบริทจะหลับเมื่อเวลาผ่านไป หรือ เมื่อเจอกับกำแพงที่ขุดไม่ได้
level.tutorial.assessor.carry.desc3,เมื่อคุณเล็งไปในทิศทางที่ต้องการขณะที่ทิ้งทรัพยากร เป็นการยิงทรัพยากรออกไปอย่างรวดเร็ว
level.tutorial.drillbot.sleeping2,เมื่ออยู่ใกล้ๆ กด | เพื่อปลุก
level.tutorial.drillbot.sleeping3,กด | เพื่อเปลี่ยนทิศการขุดในขณะที่ดริลเบริทตื่น
properties.keeper2.totalspheres,บอลพลังงาน {}
upgrades.shieldbattleblastdamage.title,ระเบิดเป็นจุล
upgrades.domeresourcecounters.desc,แสดงทรัพยากรที่มีอยู่ในปัจจุบัน
upgrades.swordextendlong1.desc,เพิ่มความเสียหายในการแทงและระยะการบินที่ไกลขึ้น
worldmodifier.resourcerichwater.desc,โลกนี้มีทรัพยากรน้ำจำนวนมาก
upgrades.drillbotstrength1.desc,เพิ่มพลังขุดของดริลเบริท
upgrades.stunlaserautonomy1.desc,AI เข้าควบคุมสตั้นเลเซอร์แม้ว่าคุณจะอยู่ภายนอกโดมก็ตาม
properties.blastmining.radius,รัศมีการระเบิด {} ช่อง
upgrades.jetpackstrength1.title,เพิ่มน้ำหนัก 1
pause.gamepadcontrols.use,ใช้
upgrades.laserstrength2.desc,เพิ่มพลังของเลเซอร์อย่างมาก แต่จะเคลื่อนที่ช้าลงขณะยิง
properties.laser.movespeedwhilefiring,ความเร็วขณะยิง {.percent}
properties.probe.markerretention,เวลาแสดง {} วินาที
upgrades.swordexplosivereflection.title,ระเบิดสะท้อน
upgrades.condenserspeed2.desc,ลดเวลาที่ใช้ในการสร้างทรัพยากรน้ำ 1 หยด
upgrades.condenserspeed2.title,เร่งผลิต 2
properties.stunlaser.firetime,เวลายิง {} วินาที
options.input.gamepad.gamepadstickdeadzone,บริเวณที่ก้านอนาล็อกไม่ตอบสนอง
upgrades.keeper2movement2.desc,เพิ่มประสิทธิภาพของเครื่องกำเนิดแรงโน้มถ่วงเพื่อคลื่อนที่อย่างรวดเร็ว
upgrades.shieldbattlelongerafterdepletion.desc,ผลของระเบิดสายฟ้าจะอยู่นานขึ้นหากเกราะถูกทำลาย
properties.laser.bend,เลเซอร์เล็งเป้าอัตโนมัติ {}°
level.station.upgrademenu.buy,ซื้อ
properties.drillbot.plantgrowthtime,ระยะเวลาในการสุก {} รอบ
level.gameover.continue,โหลดเกม
upgrades.repellentoverchargeduration1.desc,เมื่อคุณเปิดใช้งานโอเวอร์ชาร์จจะทำให้สกิลต่อสู้ของคุณในการจู่โจมถัดไปมีระยะเวลานานมากขึ้น
upgrades.artilleryshotcooldown1.title,คูลดาวน์ 1
worldmodifier.resourceunpredicatablewater.desc,น้ำอยู่อย่างกระจัดกระจายและยากต่อการค้นหา
level.tutorial.blastmining.popup_1,เก็บระเบิดขึ้นและปล่อยในจุดที่ต้องการระเบิด
ending.thankyoumessage,ขอบคุณที่เล่นเกมของเรา!
options.keybindings.rebinding.error.gamepad,ไม่สามารถตั้งค่าปุ่มนี้ได้
upgrades.keeper2pinballdamagefraction.desc,ดาเมจของบอลพลังงานแปรผันตามความแข็งของหินและความเสียหายของหินจะคงที่ตามความแข็ง
