key,id_ID
properties.upgrade.gameover,Akhir dari Percobaan
upgrades.blastminingstickycharge.title,Peledak Tempel Terarah
upgrades.shieldoverchargestrength2.title,Mendorong Kekuatan Perisai 2
upgrades.blastminingblast2.desc,Meningkatkan kekuatan ledakan lebih lanjut.
upgrades.repellentbattlestrongerslowdown2.title,Sempoyongan Kuat
upgrades.converter.desc,"Bisa menkonversi sumber daya, membantu kamu seimbangkan inventori sumber dayamu."
loadout.proceed,Proceed
upgrades.repellentbattleslowdown.desc,Spray a numbing mist during battle that slows all monsters down.
loadout.mapsize.medium.description,An average sized map for a proper mining session.
properties.orchard.overchargeadditionalbuffduration,{} cycles additional buff duration after overcharge
options.translation.community.title,Penerjemah Komunitas
upgrades.blastminingtriple.title,Triple Charges
worldmodifier.hardnessextremes.desc,There are much more extremely hard and soft rocks.
level.station.battle.navbar.exit,Exit
upgrades.keeper2pinballlifetime2.title,Kinetic Sphere Lifetime 2
upgrades.minoriron.desc,Send iron offworld to increase your prestige.
properties.dome.autohealamount,Repair {} hp
upgrades.migration.title,Migrasi
upgrades.converterefficientcobalt.title,Eficien Konversi Kobalt
upgrades.shieldbattledestructionprevention.desc,"Gain a long period of invulnerability when your dome is about to be destroyed.
After that, your shield does not charge for the next battle. Last stand can only be triggered again after 2 completed waves.
"
upgrades.drill1.desc,Mengkuatkan bornya untuk mengali lebih cepat.
level.gameover.retry,Start another run
properties.orchard.overchargeduration,Fruit growth speed doubles for {} cycles
upgrades.dome2health1.title,Nyawa 1
level.tutorial.station.popup_4,Then hit | to enter battle mode and defend.
level.gameover.stats.timeplayed.unit,m
upgrades.repellentbattlestrongerslowdown2.desc,The mist slows monsters even more and lasts for longer.
loadout.gadgetoptions.title,Pilih alat utamamu!
level.tutorial.station.popup_2,Move to the station and hit | to enter it.
upgrades.dome1damagereduction1.desc,Harden the dome surface to take less damage from monsters melee hits. Projectile damage is unaffected.
level.tutorial.station.popup_1,Your dome is under attack!
upgrades.keeper2movement3.title,Gravitational Movement 3
upgrades.jetpackspeed1.desc,Meningkatkan paket jet untuk bergerak lebih cepat.
properties.converter.ironwatertime,{} cycles Conversion Time
level.tutorial.sworddome.slicing.desc,"The faster the sword swings, the higher the slice damage."
upgrades.liftorbs.desc,Pasang sebuah bola pengangkat tambahan.
upgrades.proberecharge.desc,The probe will slowly recharges on its own over time.
loadout.gadget,ALAT
upgrades.drill4.title,Kekuatan Bor 4
properties.probe.rechargetime,Complete Recharge Time {} cycles 
upgrades.keeper2pinballdamage4.title,Kinetic Sphere Damage 4
options.game,Gim
loadout.prestige.cobalt,Fixed Cobalt
options.input.vibration.strength,Vibration Strength
upgrades.liftcapacity1.desc,Bolanya bisa membawa lebih banyak sumber daya.
loadout.miner.title,Choose Your Run Options
level.gameover.stats.difficulty,Difficulty
upgrades.repellentoverchargestrength1.title,Mendorong Tunda Gelombang 1
upgrades.domesandrepairstrong.title,Perbaikan Kobalt Kuat
upgrades.stunlaserduration1.desc,The stun laser cools down faster and fires for longer.
level.gameover.prestige.score.rankimproved,Anda meningkatkan pangkatmu ke {rank}.
upgrades.stunlaserdamage2.desc,Increases damage done by the stun laser.
upgrades.drillbotstrength4.title,Kekuatan 4
level.gameover.prestige.title,PRESTIGE RUN FINISHED
loadout.secondstage.cancel,Cancel
upgrades.laseraimline.desc,"Add targeting sights to the laser, showing where it is aiming."
leaderboard.global,Global
upgrades.condenserdoublestorage.desc,"Pengembun akan memproduksi dan meyimpan dua air, sebelum itu behenti bekerja."
upgrades.swordreflection2.title,Pantulan 2
leaderboard.season,Season {season}
upgrades.drill2.desc,Mengkuatkan bornya untuk mengali lebih cepat.
properties.laser.hitprojectiles,laser hits energy projectiles
upgrades.dome1damagereduction1.title,Penebalan 1
properties.sword.stabexplosivedamage,Bomb Damage {}
upgrades.drillbotturnaround.title,Latihan Cangih
upgrades.keeper2movement1.title,Gravitational Movement 1
properties.orchard.battleroots,Grow {} Roots on the ground
upgrades.prospectionmeterrange2.title,Jarak 2
upgrades.jetpackspeed4.title,Kecepatan 4
loadout.prestige.miner,Miner
upgrades.repellentdelay2.desc,Tambahkan lebih banyak waktu yang di tunda untuk gelombang monster berikutnya.
upgrades.orchard.desc,Plant a tree in the dome that grows fruits to buff your movement and mining power.
upgrades.artilleryflakexplosionradius1.title,Jangkauan Gotri 1
upgrades.shieldbattleelectroblast.desc,Trigger an active combat ability that creates a deadly field effect around your dome for a short time.
upgrades.shredgadgettocobalt.desc,Sobek alatnya dan dapatkan {amount} kobalt.
upgrades.prestigecobalt.title,Kirim Kobalt
properties.orchard.drillbuff,Mining Strength Buff {}
upgrades.swordlargeblade2.desc,"Pasang pedang lebih besar. itu bergerak lebih lambat, tapi membuat kerusakan berat."
level.gameover.back,Back
options.cancel,Batal
options.keybindings.action.dome.fire,Tembak 
upgrades.swordstabshoot.title,Javelin
upgrades.blastminingtriple.desc,Produces 3 small charges instead of a large one.
upgrades.orcharddrill1.title,Mining Boost 1
upgrades.swordextendlong2.title,Tusukan Jauh 2
upgrades.artilleryshotcooldown1.desc,Tembak lebih sering.
upgrades.keeper2pinballdamagefraction.title,Kinetic Sphere Hardness Transcendence
upgrades.doublelaser.title,Dobel Laser
upgrades.jetpackspeed3.title,Kecepatan 3
upgrades.minerwater.title,Send Water
properties.orchard.battleabilityuses,Uses per Battle {}
upgrades.liftorbs.title,Bola 1
upgrades.repellentoverchargeduration1.title,Dorongan Durasi Kemampuan Perang 1
upgrades.drill3.desc,Mengkuatkan bornya untuk mengali lebih cepat.
level.gameover.prestige.uploading.inprocess,uploading score ...
loadout.abort,Abort
properties.shield.overchargestrength,Overcharge Strength {}hp
level.station.navbar.upgrades,Upgrades
upgrades.keeper2pinballsplit.desc,"Split incoming spheres into two, launching them perpendicular to the original."
upgrades.proberecharge.title,Isi Ulang Otomatis
properties.sword.stabrange,Range {} 
upgrades.liftspeed1.title,Kecepatan
upgrades.domewavecount.desc,Pasang sebuah penghitung yang menunjukan berapa banyak gelombang yang kamu pertahankan.
level.converter.popup.title,Convert Resources
pause.discord,Join us on Discord
options.keybindings.rebinding.cancel,Batal
upgrades.prospectionmeterrange1.desc,Tambahkan jarak terdeteksi dari pengukur propeksi.
upgrades.dome2badrepair1.desc,"Kubahmu diperbaiki secara otomatis, jika itu mendapat banyak kerusakan di dalam pertempuran."
upgrades.prestigecobalt.desc,"Kirim kembali Kobalt, menambah ke pengali pretise kamu dapat setiap gelombang."
upgrades.domesandrepair.desc,Perbaiki kerusakan di kubahmu dengan kobalt.
loadout.skinoptions.title,Choose your Skin!
loadout.difficulty.medium.description,Dome‘s intended difficulty.
loadout.difficulty.veryeasy.description,"Still not easy, but more relaxed than the other difficulties."
options.game.tutorials,Panduan
upgrades.orchardbattlerootingmore.desc,Grow more roots that last longer.
upgrades.probepersist1.title,Penyelidik Memori
upgrades.keeper2pinballmorespheres2.title,Sphere Supply 2
upgrades.orchardjetpack3.desc,"Increase the fruits speed boost, letting you move extremely fast."
upgrades.probe.title,Penyelidik
upgrades.sword.title,Pedang
properties.shield.battledestructionprevention,Additional Duration {}s
upgrades.shieldbattlereflect.title,Pantulan
pause.gamepadcontrols.use,Use
properties.laser.dpsmod,Damage Modifier {.percent}
upgrades.condenserdoublestorage.title,Gudang Dobel
upgrades.relichunt.desc,Cari peninggalan yang di kubur mendalam dan kembalikan ke kubahmu.
loadout.mapsize.unlock.description,"Win a run with the previous map size, to unlock this map size."
properties.sword.stabdamage,Stab Damage {} 
properties.keeper1.drillstrength,Drill Strength {}
worldmodifier.mapwildbiomes.desc,The biomes borders are very irregular.
upgrades.condenser.title,Pengembun
upgrades.dome2badrepair2.title,Perbaikan Otomatis 2
options.game.screenshake.shakewhenmining,Getaran Ketika Menambang
upgrades.repellentdelay2.title,Tunda 2
level.tutorial.assessor.reflect.desc,Hit|to reflect incoming kinetic spheres for a very short time.
properties.drillbot.buffamount,Energized Drillings {} hits
upgrades.laserstrength2.title,Daya 2
upgrades.jetpackstrength3.title,Kekuatan Membawa 3
options.keybindings.action.general,Umum
level.gameover.unlock.gadgetability,New Gadget Battle Ability
upgrades.jetpackstrength1.desc,Mempertajam paket jet untuk membawa lebih banyak sumber daya.
upgrades.artillerymultishot1.desc,Luncurkan banyak granat per tembakan.
properties.sword.reflectprojectiles,Reflect Energy Projectiles
upgrades.stunlaser.desc,Install a laser that auto targets and stuns monsters.
upgrades.orchardbattleshieldstrong.desc,The projectile shields are stronger. Also gain an additional ability use after using overcharge.
upgrades.orchardjetpack1.desc,"Increase the fruits speed boost, letting you move faster."
upgrades.laser.desc,Sebuah laser akurat yang bergerak dengan kubahmu. Sebelumnya bermaksud untuk menambang asteroid.
properties.shield.maxstrength,Strength {} hp
options.keybindings.action.keeper,Penjaga
worldmodifier.resourceunpredicatablecobalt.desc,Cobalt is more scattered and harder to predict.
title.navbar.quit,Keluar ke Desktop
options.keybindings.rebinding.error.gamepad,Tidak bisa mengatur ini sebagai masukan gamepad
upgrades.repellentbattleslowdownstun1.desc,"Use volatile spores in the mist to stun monsters, stopping them in their tracks for a short time."
upgrades.swordfastreflection.title,Pantulan Dipercepat
upgrades.stunlaserduration2.title,Ketahanan Tembak 2
level.gameover.lose.title,THE DOME IS LOST
worldmodifier.resourcescatterediron.desc,"There are more iron clusters around, but they are smaller."
properties.laser.dps,Damage {}
options.game.screenshake.shakeintensity,Intensitas Getaran
worldmodifier.hardnessharder.desc,There are more harder rocks in the mine.
options.video.stretchmode,Mode Tampil
worldmodifier.monsterhealthy.desc,The monsters have more health.
level.gameover.stats.mapsize,Map Size
loadout.mode.longtime,Long Cycles
upgrades.swordreflection3.desc,Ukuran perisai maks.
upgrades.repellentbattleslowdownstun2.desc,Gunakan spora lincah lebih sering dan menyetrum monster lebih lama.
upgrades.teleporterteleportresourcesarea.title,Area Teleportasi
upgrades.shieldoverchargeduration2.desc,Your shield battle ability will be active even longer in the next wave after overcharging.
upgrades.shieldoverchargestrength1.title,Mendorong Kekuatan Perisai 1
upgrades.drillbotbuffstrength1.desc,Makanan membuat Drillbert berernegi lebih lama.
upgrades.orchardoverchargebuffduration.title,Overcharge Buff Duration
level.tutorial.assessor.spheres.desc3,It recharges its power with each bounce.
loadout.mode.longtime.desc,"You have twice as much time between waves, but the waves will be stronger."
level.tutorial.assessor.spheres.desc2,Choose a direction and release to shoot the sphere.
upgrades.laserstrength1.desc,"Memperkuatkan daya lasermu, tapi itu akan bergerak lebih lambat jika sedang menembak."
level.tutorial.assessor.spheres.desc1,Hold|to charge a kinetic sphere.
upgrades.jetpackstrength4.title,Kekuatan Membawa 4
upgrades.migration.desc,"Migrasi dari dunia ke dunia, mengupaskan setiap sumber daya dan peninggalan sebelum anda di mengerumuni."
upgrades.orcharddrill1.desc,"Increase the fruits mining boost, letting you mine faster."
upgrades.keeper2pinballdamage3.desc,Improve the damage the kinetic sphere deals to rocks upon impact. Also improves rotational mining damage.
options.accessibility.highlightmonsters,Highlight Monsters
upgrades.prestigecobaltnocobalt.title,Kirim Kobalt
properties.keeper2.spherebasedamage,Sphere Base Damage {}
upgrades.orcharddrill3.desc,"Increase the fruits mining boost, letting you mine extremely fast."
properties.converter.cobalttoiron,{} cobalt to one iron
level.tutorial.repair.usecobalt,You can use your cobalt to repair your dome. It's an upgrade in the dome tech tree.
upgrades.blastminingimpactdetonation.title,Dampak Detonasi
upgrades.swordfastreflection.desc,Proyektil yang di pantul akan terbang kembali lebih cepat.
upgrades.liftcapacity1.title,Kapasitas
upgrades.artillery.desc,Bazooka Cacing.
properties.sword.electricdamage,Electrified Sword Damage {}
level.station.upgrademenu.close,Close
properties.shield.overchargebattleabilityduration,Additional Ability Duration {.percent}
pause.title,PAUSE
upgrades.artillerymultishot1title,Penembak Berantai 1
properties.shield.battleadditionalabilitydurationafterdepletion,Additional Ability Duration {}s
upgrades.orchardbattlerootingexplosion.title,Explosive Prey
upgrades.blastminingproductiontime1.title,Waktu Produksi
options.video.stretchmode.scaled.text,"Menampilkan gim dengan resolusi tetap dan di skala ke resolusimu.
Bisa di piksel, terutama di fon, tapi tidak ada kesalahan garis visual."
upgrades.orchardduration3.title,Duration 3
upgrades.domewavecount.title,Penghitung Gelombang
upgrades.shredgadgettoiron.title,Sobek ke Besi
options.keybindings.rebinding.apply,Terapkan
options.keybindings.restoredefault,Kembali ke pengaturan awal
upgrades.converterironduplication.title,Duplikasi Besi
title.navbar.credits,Kredit
level.gameover.unlock.gadget,New Gadget
upgrades.jetpackspeed2.title,Kecepatan 2
loadout.modeoptions.title,Choose your Game Mode!
properties.keeper2.spherebaselifetime,Sphere Lifetime {}
options.video.stretchmode.scaled,Diskala
properties.orchard.battleabilityduration,Ability Duration {}s
upgrades.repellentbattleslowdownstun1.title,Paralisis
loadout.difficulty.medium,Brutal
options.audio.volumes,Volume
upgrades.keeper1.title,Insinyur
upgrades.drillbotsleepless.title,Latihan Dasar
upgrades.drillbot.title,Drillbert
level.tutorial.assessor.carry.desc1,"Hold|to pull in resources, until they are locked onto you."
level.tutorial.assessor.carry.desc2,Hit|to drop a resource.
level.tutorial.drillbot.sleeping1,"Drillbert goes to sleep after a while, or when it meets a wall it can't dig."
level.tutorial.assessor.carry.desc3,"If you aim into a direction while dropping a resource, it will be accelerated heavily."
level.tutorial.drillbot.sleeping2,"When close to it, hit | to wake it."
level.tutorial.drillbot.sleeping3,You can make it turn around by hitting | when it's awake.
properties.keeper2.totalspheres,Spheres {}
upgrades.shieldbattleblastdamage.title,Ledakan Mematikan
upgrades.domeresourcecounters.desc,Tampilkan jumlah sumber daya yang di setor saat ini.
upgrades.swordextendlong1.desc,Mempertajam kekuatan tusuk dan kemampuan untuk mengarahkan saat di udara.
worldmodifier.resourcerichwater.desc,This world has a lot of water.
upgrades.drillbotstrength1.desc,Tambahkan kekuatan mengali Drillbert.
upgrades.stunlaserautonomy1.desc,A simple AI will control the stun laser even when you are not inside the control station.
properties.blastmining.radius,Explosion radius {} tiles
upgrades.jetpackstrength1.title,Kekuatan Membawa 1
options.keybindings.apply,Terapkan
upgrades.laserstrength2.desc,"Sangat memperkuatkan daya lasermu, tapi itu akan bergerak jauh lebih lambat jika sedang menembak."
properties.laser.movespeedwhilefiring,Speed while Firing {.percent}
properties.probe.markerretention,Marker Retention {}s
upgrades.swordexplosivereflection.title,Pantulan Meledak
upgrades.condenserspeed2.desc,Mengurangi waktu diperlukan untuk mengembun satu air lebih jauh.
upgrades.condenserspeed2.title,Kecepatan Produksi 2
properties.stunlaser.firetime,Fire Time {}s
options.input.gamepad.gamepadstickdeadzone,Zona mati stik jempol
upgrades.keeper2movement2.desc,Improve your gravity generator to move faster.
upgrades.shieldbattlelongerafterdepletion.desc,The blast will last longer if triggered after your shield runs out.
properties.laser.bend,laser auto aims {}°
level.station.upgrademenu.buy,Buy
properties.drillbot.plantgrowthtime,Treat Growth Time {} cycles
title.navbar.continue,Lanjutkan
upgrades.repellentoverchargeduration1.desc,Overcharging your tank will also prolong any repellent battle ability you use in the next wave.
upgrades.artilleryshotcooldown1.title,Waktu Tenang 1
worldmodifier.resourceunpredicatablewater.desc,Water is more scattered and harder to predict.
level.tutorial.blastmining.popup_1,Take the Blast Charge and drop it where you want to clear rocks.
ending.thankyoumessage,Thank you for playing!
options.keybindings.rebinding.error.keyboard,Tidak bisa mengatur ini sebagai masukan keyboard
upgrades.keeper2pinballdamagefraction.desc,The kinetic sphere transcends rock hardness and damages the rock by a fixed fraction of its health.
upgrades.swordlargeblade1.title,Pedang Berat 1
upgrades.shredgadgettoiron.desc,Sobek alatnya dan dapatkan {amount} besi.
upgrades.drillbot.desc,Adopt a loveable creature that loves to dig. Carry it into the mine and drop off where you want it to work. Check back to wake it up when it goes to sleep on the job.
properties.dome.autohealdamagethreshold,Activate on getting more damage than {} hp
upgrades.dome3health1.title,Nyawa 1
title.navbar.updates.close,Tutup
upgrades.swordaimline.desc,Tambahkan sebuah laser pengarah untuk mengarah tusukan pedang.
upgrades.shieldoverchargeduration1.title,Mendorong Durasi Kemampuan Perang 1
level.converter.popup.explanation,Pick a resource conversion to start!
upgrades.drillbotbuff1.title,Makanan
title.navbar.credits.close,Tutup
upgrades.keeper2movement3.desc,Improve your gravity generator to move faster.
pause.quittotitlescreen,Quit to Title Screen
loadout.prestige.countdown.description,The prestige multiplier starts high and decreases each cycle.
upgrades.drill3.title,Kekuatan Bor 3
upgrades.probestage1.title,Ditingkatkan Penyelidik
properties.sword.stabarrowhead,Increase Arrowhead Size
loadout.mapsize.huge.description,A huge map for the longest runs.
properties.sword.stabspeed,Stab Speed {.percent} 
level.tutorial.teleporter.take1,Your teleporter has a station and a portal. You can teleport between them.
worldmodifier.mapmaze.desc,The mine is a maze.
level.tutorial.teleporter.take2,Grab the Portal and place it where you like.
options.keybindings.action.dome.battleability1,Kemampuan Tempur
upgrades.laserbend.desc,"Pasang sebuah pemutar kepala ke lasernya yang membenarkan arahanmu secara ototmatis, jika itu mendatangi secara dekat."
options.video.graphicsmode.fullscreen,Layar Penuh
options.keybindings.action.general.down,Bawah
level.tutorial.assessor.spheres,Kinetic Spheres
level.tutorial.mineraltree1,"You just found a mineral tree seed. It can grow into a tree which roots into tiles. It will grow resources depending on the resources of the rooted tiles.
Drop it on a tile to plant the seed."
upgrades.blastmining.desc,Adds a machine under the dome that produces blast charges. Carry them into the mines and release to detonate.
properties.sword.stabcooldown,Extend Cooldown {}s 
upgrades.repellentoverchargestrength2.desc,Further increase the delay until the next wave after overcharging.
upgrades.probeswift1.desc,"Switch to a fast, short range probe with many charges."
properties.drillbot.buffextraamount,Additional Drilling {} hits
level.gameover.unlock.keeper,New Keeper
upgrades.prospectionmeter.title,Pengukur Prospek
upgrades.shieldbattleactivateondepletion.desc,Invulnerability automatically activates an additional time when the shield runs out.
upgrades.dome2badrepair1.title,Perbaikan Otomatis 1
upgrades.swordtargetlock.title,Penguncian Target
upgrades.laserhitprojectiles.title,Larut Proyektil
upgrades.keeper2pinballreflectspeedup1.title,Improved Reflection
properties.shield.battleuses,Uses per Battle {}
options.game.events,Events
upgrades.artilleryflakexplosionradius1.desc,Ledakan Gotri lebih besar.
properties.keeper1.speedlosspercarry,Carry Slowdown {}
pause.gamepadcontrols.back,Back
level.gameover.unlocknewelementbutton,Pick your unlock
upgrades.prospectionmeteriron2.desc,Displays the direction to the nearest iron deposits.
upgrades.prestige.desc,Skor poin melalui mengkirim sebanyak mungkin sumber daya sebelum kubahmu runtuh atau kamu tinggal dengan aman planetnya.
properties.prestige.multiplier,{} Prestige Multiplier per Wave
options.input.controls,Kontrol
properties.sword.reflectionacceleration,Reflected Projectile Speed {.percent}
loadout.difficult.easier,easier
upgrades.keeper2pinballreflectdamage1.title,Reflection Damage 1
properties.sword.extendspeed,Extend Speed {} 
properties.keeper2.reflectspeedup,Sphere Speedup on Reflection {.percent}
loadout.mode.doubleiron,Double Iron
upgrades.dome3.desc,tidak tersedia di demo
properties.condenser.growthtime,Production Time {} cycles
options.game.languages,Bahasa
worldmodifier.mapwidebottom.desc,"The mine is thin at first, and gets very wide in the depths."
loadout.mode.maze,Maze
upgrades.dome2health1.desc,Permanently increase the structural health of your dome and repair it.
properties.drillbot.drillstrength,Drill Strength {}
upgrades.keeper2.desc,Sebuah penambang inkonvensional yang membuat teknologi gravitasi eksperimental.
properties.orchard.battleshields,Shield Layers {}
level.tutorial.sworddome.reflecting.desc,"Use the sword's shield pad to stop projectiles, or even reflect them."
options.audio.volumes.musicvolume,Volume Musik
loadout.dome,DOME
upgrades.swordlongblade2.title,Pedang Panjang 2
upgrades.laseraimline.title,Penglihatan Laser
level.tutorial.assessor.bundle.desc1,"Hold|while carrying resources, to charge a bundle."
options.keybindings.keyboard,Papan tombol
level.tutorial.assessor.bundle.desc2,"Aim and release to shoot it, the same way you fire a kinetic sphere."
properties.prestige.score,{} Prestise
worldmodifier.mapdeep.desc,The mine is deeper and less wide.
upgrades.repellentbattleslowdownstun2.title,Paralisis Kuat
upgrades.keeper2pinballmorespheres1.title,Sphere Supply 1
upgrades.prestigewater.desc,"Kirim kembali Air, menambah 1 ke pretise kamu dapat setiap gelombang."
properties.keeper2.bundlestopcenter,Center Column Gravity Field
upgrades.stunlaserdamage1.title,Kerusakan 1
upgrades.keeper2pinballlifetime1.title,Kinetic Sphere Lifetime 1
properties.repellent.battleslowdown,Monster Slowdown {.percent}
upgrades.swordextendlong1.title,Tusukan Jauh 1
level.gameover.stats.distancetravelled,Distance Travelled
properties.keeper2.reflectlifetime,Additional Sphere Lifetime on Reflection {}s
upgrades.blastminingimpactdetonation.desc,The blast charge will explode on impact with a surface.
properties.keeper2.spheresplit,Split Incoming Spheres
options.keybindings.action.dome.upgrade,Meningkatkan
worldmodifier.resourcepoorcobalt.desc,This world has little cobalt.
pause.resumegame,Resume Game
level.gameover.unlock.difficulty,New difficulty unlocked!
properties.stunlaser.cooldown,Cooldown {}s
options.keybindings.action.general.right,Kanan
level.tutorial.assessor.mining.desc,"To remove a single rock, you can move the rotating kinetic sphere into it."
upgrades.teleporterteleportresourcesback.title,Teleportasi Sumber Daya
upgrades.dome1.title,Laser Kubah
upgrades.keeper2bundleinfinite.title,Enduring Bundle
upgrades.repellentdelay1.title,Tunda 1
upgrades.miner.desc,"In worlds without monsters, you can concentrate on mining as many resources as you want without distraction."
upgrades.repellentbattlestrongerslowdown1.desc,The mist slows monsters more and lasts longer.
upgrades.teleporterteleportresourcesarea.desc,Portal akan teleportasi sumber daya dari area lebih besar daripada sebelumnya.
upgrades.dome3.title,Kubah Artileri
upgrades.swordstabshoot.desc,"Bukan mengambil dengan sebuah kabel, malah pedangnya menyerbu dan ditembak dari kubahnya seperti sebuah javelin."
upgrades.repellentbattledamageovertime.desc,All monsters take a little damage for each second the toxic fumes persist.
upgrades.shieldbattleactivateondepletion.title,Aktifkan saat Kehabisan
upgrades.artillerymultishot2.desc,Luncurkan banyak granat per tembakan.
upgrades.dome1health2.title,Nyawa 2
worldmodifier.monsterlethal.desc,"The monsters are more lethal, dealing more damage."
loadout.pet,Pet
options.keybindings.action,Aksi
upgrades.orcharddrill3.title,Mining Boost 3
options.translation.title,PILIH BAHASA ANDA
upgrades.prospectionmeterrange1.title,Jarak 1
upgrades.dome2badrepair2.desc,"Kubahmu diperbaiki secara otomatis lebih, jika itu mendapat banyak kerusakan di dalam pertempuran."
options.audio.volumes.ambiencevolume,Volume Suasana
upgrades.prestigecobaltnocobalt.desc,"Kirim kembali Kobalt, menambah ke pengali pretise kamu dapat setiap gelombang."
worldmodifier.maparms.desc,The mine is more fractured.
loadout.prestige.countdown,Countdown
